573 [main] INFO  SiiShop.SiiShopTest - Start database
1750 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
1817 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
4921 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: https://pudelek.pl/
4923 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
5969 [main] INFO  SiiShop.SiiShopTest - **********Test passed**********
6288 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
6354 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
6370 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
7485 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: https://wp.pl
7485 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
8517 [main] INFO  SiiShop.SiiShopTest - **********Test passed**********
8701 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
8751 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
8763 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
9761 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: http://146.59.32.4/index.php
9761 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
10790 [main] INFO  SiiShop.SiiShopTest - **********Test passed**********
10975 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
10988 [main] INFO  SiiShop.SiiShopTest - Database connection closed
