600 [main] INFO  SiiShop.SiiShopTest - Start database
1907 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
1986 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
5832 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: http://pudelek.pl/
5833 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
7646 [main] INFO  SiiShop.SiiShopTest - **********Test passed**********
7913 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
7972 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
7990 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
9187 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: http://wp.pl
9187 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
11214 [main] INFO  SiiShop.SiiShopTest - **********Test passed**********
11537 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
11582 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Using chromedriver 107.0.5304.62 (resolved driver for Chrome 107)
11597 [main] INFO  i.g.bonigarcia.wdm.WebDriverManager - Exporting webdriver.chrome.driver as C:\Users\Basia\.cache\selenium\chromedriver\win32\107.0.5304.62\chromedriver.exe
12802 [main] INFO  SiiShop.SiiShopTest - url naszej aplikacji to: http://146.59.32.4/index.php
12805 [main] INFO  SiiShop.SiiShopTest - Przegladarka: chrome
14223 [main] INFO  SiiShop.SiiShopTest - **********Test passed**********
14456 [main] INFO  SiiShop.SiiShopTest - Driver was closed properly
14460 [main] INFO  SiiShop.SiiShopTest - Database connection closed
